DATA,ABERTURA,MAXIMA,MINIMA,FECHAMENTO,BINARIO
2020-02-03 04:51:00,1.10686,1.10702,1.10686,1.10706,1.0
2020-02-03 04:56:00,1.10706,1.10734,1.10702,1.10732,0.0
2020-02-03 05:01:00,1.10732,1.10732,1.10698,1.10691,0.0
2020-02-03 05:06:00,1.10691,1.10691,1.1068,1.10676,1.0
2020-02-03 05:11:00,1.10675,1.10681,1.10675,1.10678,0.0
2020-02-03 05:16:00,1.10677,1.10677,1.10665,1.1066,1.0
2020-02-03 05:21:00,1.10659,1.10685,1.10659,1.10671,0.0
2020-02-03 05:26:00,1.10672,1.10675,1.10655,1.10662,1.0
2020-02-03 05:31:00,1.10664,1.1067,1.10656,1.10664,1.0
2020-02-03 05:36:00,1.10663,1.1068,1.10661,1.1067,1.0
2020-02-03 05:41:00,1.10671,1.1069,1.1065,1.10688,0.0
2020-02-03 05:46:00,1.10688,1.10695,1.10662,1.10672,0.0
2020-02-03 05:51:00,1.10672,1.10672,1.10657,1.10668,0.0
2020-02-03 05:56:00,1.10667,1.10682,1.10645,1.1065,1.0
2020-02-03 06:01:00,1.1065,1.10674,1.1065,1.10671,0.0
2020-02-03 06:06:00,1.10671,1.10671,1.10634,1.10637,0.0
2020-02-03 06:11:00,1.10636,1.10636,1.10623,1.10632,0.0
2020-02-03 06:16:00,1.10631,1.10636,1.10615,1.10627,0.0
2020-02-03 06:21:00,1.10628,1.10631,1.10602,1.10606,0.0
2020-02-03 06:26:00,1.10604,1.10623,1.10604,1.10602,1.0
2020-02-03 06:31:00,1.10603,1.10617,1.106,1.10608,0.0
2020-02-03 06:36:00,1.10609,1.10609,1.10594,1.10605,1.0
2020-02-03 06:41:00,1.10605,1.10629,1.10605,1.1063,0.0
2020-02-03 06:46:00,1.10631,1.10631,1.10605,1.10614,0.0
2020-02-03 06:51:00,1.10613,1.10623,1.10613,1.10613,1.0
2020-02-03 06:56:00,1.10614,1.10626,1.10583,1.10615,1.0
2020-02-03 07:01:00,1.10617,1.10629,1.10617,1.10629,1.0
2020-02-03 07:06:00,1.10628,1.10649,1.10628,1.10648,0.0
2020-02-03 07:11:00,1.10648,1.10666,1.10648,1.10647,1.0
2020-02-03 07:16:00,1.10646,1.10659,1.10644,1.10654,0.0
2020-02-03 07:21:00,1.10654,1.10654,1.10638,1.10646,0.0
2020-02-03 07:26:00,1.10646,1.10646,1.10631,1.10639,0.0
2020-02-03 07:31:00,1.10639,1.10648,1.10639,1.10637,0.0
2020-02-03 07:36:00,1.10638,1.10638,1.10623,1.10627,1.0
